Filename,Seller Name (Azure),Seller Name (Gemini),Seller Name Match,Seller Tax ID (Azure),Seller Tax ID (Gemini),Seller Tax ID Match,Client Name (Azure),Client Name (Gemini),Client Name Match,Client Tax ID (Azure),Client Tax ID (Gemini),Client Tax ID Match,Invoice Number (Azure),Invoice Number (Gemini),Invoice Number Match,Invoice Date (Azure),Invoice Date (Gemini),Invoice Date Match,Net Worth (Azure),Net Worth (Gemini),Net Worth Match,VAT (Azure),VAT (Gemini),VAT Match,Gross Worth (Azure),Gross Worth (Gemini),Gross Worth Match,Total Valid Matches,Match Rate (%)
batch1-0331.jpg,Ochoa-Scott,Ochoa-Scott,True,,921-82-1053,False,Green LLC,Green LLC,True,,965-99-1263,False,94138597,94138597,True,2018-02-05,02/05/2018,False,$1612.5,"1 612,50",False,$161.25,"161,25",False,$1773.75,"1 773,75",False,3,33.33
batch1-0332.jpg,Chavez Ltd,Chavez Ltd,True,,904-77-6503,False,Roberts Ltd,Roberts Ltd,True,,956-94-0439,False,13507183,13507183,True,2015-09-09,09/09/2015,False,$1026.72,"1 026,72",False,$102.67,"102,67",False,$1129.39,"1 129,39",False,3,33.33
batch1-0333.jpg,"Solomon, Ford and Ellis","Solomon, Ford and Ellis",True,,954-73-2478,False,Hamilton-Jackson,Hamilton-Jackson,True,,988-96-5706,False,74819543,74819543,True,2020-10-07,10/07/2020,False,$125.0,"125,00",False,$12.5,"12,50",False,$137.5,"137,50",False,3,33.33
batch1-0334.jpg,Duncan Ltd,Duncan Ltd,True,,964-84-8594,False,Edwards-Archer,Edwards-Archer,True,,909-91-4017,False,65498230,65498230,True,2021-02-16,02/16/2021,False,$45.5,"45,50",False,$4.55,"4,55",False,$50.05,"50,05",False,3,33.33
batch1-0335.jpg,Johnson-Brooks,Johnson-Brooks,True,,964-92-2746,False,"Proctor, Morgan and Williams","Proctor, Morgan and Williams",True,,939-82-6262,False,51467723,51467723,True,2019-04-21,04/21/2019,False,$96817.2,"96 817,20",False,$9681.72,"9 681,72",False,$106498.92,"106 498,92",False,3,33.33
batch1-0336.jpg,Decker PLC,Decker PLC,True,957-87-4031,957-87-4031,True,Boyle Ltd,Boyle Ltd,True,,993-86-3706,False,97511742,97511742,True,2016-04-07,04/07/2016,False,$4314.93,"4 314,93",False,$431.49,"431,49",False,$4746.42,"4 746,42",False,4,44.44
batch1-0337.jpg,"Snyder, Bryan and Booth","Snyder, Bryan and Booth",True,,983-70-0913,False,Ashley-Perry,Ashley-Perry,True,,981-88-6259,False,94098997,94098997,True,2020-10-04,10/04/2020,False,$13846.77,"13 846,77",False,$1384.68,"1 384,68",False,$15231.45,"15 231,45",False,3,33.33
batch1-0338.jpg,Bailey PLC,Bailey PLC,True,,918-95-6591,False,Turner Inc,Turner Inc,True,,998-92-7755,False,11926242,11926242,True,2012-03-01,03/01/2012,False,$3340.47,"3 340,47",False,$334.05,"334,05",False,$3674.52,"3 674,52",False,3,33.33
batch1-0339.jpg,Rodriguez-Barnett,Rodriguez-Barnett,True,,986-88-3758,False,"Le, Lawson and Rios
USS King","Le, Lawson and Rios",False,,967-80-5679,False,48531206,48531206,True,2019-08-03,08/03/2019,False,$5587.91,"5 587,91",False,$558.79,"558,79",False,$6146.7,"6 146,70",False,2,22.22
batch1-0340.jpg,Daniel-Morrison,Daniel-Morrison,True,,995-99-6193,False,"Snyder, Benton and Reed","Snyder, Benton and Reed",True,,999-86-4010,False,82977013,82977013,True,2013-12-06,12/06/2013,False,$244.99,"244,99",False,$24.5,"24,50",False,$269.49,"269,49",False,3,33.33
batch1-0341.jpg,Collins Group,Collins Group,True,,942-76-9532,False,Pope LLC,Pope LLC,True,,918-70-1520,False,86225018,86225018,True,2015-12-18,12/18/2015,False,$5409.72,"5 409,72",False,$540.97,"540,97",False,$5950.69,"5 950,69",False,3,33.33
batch1-0342.jpg,Love Inc,Love Inc,True,,960-75-3286,False,Brown and Sons,Brown and Sons,True,,992-88-6386,False,79064100,79064100,True,2018-05-25,05/25/2018,False,$84.44,"84,44",False,$8.44,"8,44",False,$92.88,"92,88",False,3,33.33
batch1-0343.jpg,Williams Group,Williams Group,True,,930-72-1637,False,Frazier-Davis,Frazier-Davis,True,,952-75-5780,False,69057610,69057610,True,2013-08-20,08/20/2013,False,$15936.26,"15 936,26",False,$1593.63,"1 593,63",False,$17529.89,"17 529,89",False,3,33.33
batch1-0344.jpg,Saunders-Lee,Saunders-Lee,True,,991-83-4896,False,Molina Inc,Molina Inc,True,,936-85-0485,False,85473134,85473134,True,2017-04-24,04/24/2017,False,$808.87,"808,87",False,$80.89,"80,89",False,$889.76,"889,76",False,3,33.33
batch1-0345.jpg,Jones and Sons,Jones and Sons,True,,952-76-3987,False,Hamilton-Simmons,Hamilton-Simmons,True,,992-84-7640,False,92919413,92919413,True,2020-10-04,10/04/2020,False,$5992.66,"5 992,66",False,$599.27,"599,27",False,$6591.93,"6 591,93",False,3,33.33
batch1-0346.jpg,"Moran, Harris and Smith","Moran, Harris and Smith",True,,907-77-8712,False,Hughes-Raymond,Hughes-Raymond,True,,934-84-4841,False,49380136,49380136,True,2019-02-21,02/21/2019,False,$173.29,"173,29",False,$17.33,"17,33",False,$190.62,"190,62",False,3,33.33
